R,G,B,class
163.4299861111111,219.08794722222223,249.62398333333334,lemon
201.02937777777777,240.56542222222222,247.78895555555556,lemon
197.48817127325196,229.5385286518048,243.80198208073736,lemon
175.492492,226.423316,233.148176,lemon
166.0184111111111,221.49526111111112,239.03005277777777,lemon
163.5342,220.3668076388889,240.67782777777776,lemon
166.01748333333333,221.49644166666667,239.0075361111111,lemon
168.173213610586,233.0009640831758,251.5780482041588,lemon
200.9878111111111,240.56435555555555,247.7027111111111,lemon
163.4220388888889,219.0890638888889,249.3172972222222,lemon
171.97953268616124,231.64895876759374,238.90226907271753,lemon
159.57828117237952,220.85893691008445,239.69084947839048,lemon
44.469428713363136,135.74249379036263,110.10658718330849,lemon
183.05447901234567,229.35806419753087,238.354212345679,lemon
163.49147654320987,220.28397037037038,240.57896296296298,lemon
192.3597247488729,231.5743296685913,245.9088032903583,lemon
170.5284512617516,232.24819396338447,232.69082632360218,lemon
143.47723795330353,211.0993740685544,227.15680079483357,lemon
156.13703703703703,227.86783521489403,248.17161814220637,lemon
148.90772139303482,217.12161194029852,242.31434825870647,lemon
165.2597162613257,228.03771260530917,230.44007312033062,lemon
163.51342777777776,220.37140694444443,240.681875,lemon
143.6199901234568,170.96171851851852,166.03120987654322,melon
198.71262791852956,224.07205166418282,216.19443616492796,melon
156.2122222222222,173.71873015873015,199.0914880952381,melon
164.10269439937503,180.73369238627487,197.15950814253952,melon
163.06587087563452,189.288963356599,191.58952649111674,melon
154.67926913580246,185.98696296296296,167.80424691358024,melon
138.57514245014244,166.85586815447925,189.83143399810066,melon
84.09592098765432,129.7312,148.11437037037038,melon
196.44030574862867,207.05540703776313,217.58591259232855,melon
143.60087474048444,171.09423944636677,165.78528442906574,melon
147.61864373112982,166.92148021611314,168.28789925313842,melon
84.09592098765432,129.7312,148.11437037037038,melon
129.61652688172043,141.29879569892472,196.4696317204301,melon
158.60121150827513,166.2378011651549,183.6846496634114,melon
143.59790726643598,171.0566920415225,165.81769965397925,melon
150.46524047528646,178.4047279675839,201.32772732648246,melon
164.11924238327023,180.72692446367407,197.1388400636981,melon
150.47182576978855,178.40579232047602,201.572204828801,melon
158.61590341645334,166.24619744424427,183.69758646481884,melon
129.94942204301074,141.60847849462365,196.76813440860215,melon
